result,ratio,cadical-CPU,ReEncode-CPU,ccdclMinus-CPU,ccdcl-CPU,ccdclPlus-CPU,cadical-Wall,ReEncode-Wall,ccdclMinus-Wall,ccdcl-Wall,ccdclPlus-Wall,Name
UNSAT,0.714285714,0.05,0,0.06,0.05,0.06,0.08,0.04,0.08,0.04,0.07,0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled
UNSAT,0.234993409,4888.35,5000,4803.04,4036.13,3479.75,4903.07,5000,4818.93,4051.68,3503.37,01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169
UNSAT,0.883753139,118.07,148.94,1070.06,1409.84,1742.97,118.24,150.06,1072.39,1412.76,1749.02,01a74343f618546e9ad2a60849140317-crafted_n12_d6_c3_num26
SAT,0.860621624,158.76,159.45,103.09,113.37,383.38,159.51,163.27,103.21,114.12,383.71,0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35
SAT,0.289231912,5000,5000,578.77,2192.12,2728.03,5000,5000,582.07,2201.11,2752.3,0241f35c5752768d2b0580533d143a14-53-131587
UNKNOWN,0.006782007,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191
SAT,0.317966422,1481.17,3345.96,5000,5000,5000,1486.42,3371.39,5000,5000,5000,0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1
UNKNOWN,0.655833129,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,031c99d72be38eedacc8b402784e9821-partial-10-17-u
SAT,0.803784163,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005
UNSAT,0.755717606,5000,1075.89,5000,5000,5000,5000,1080.11,5000,5000,5000,03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1
UNKNOWN,0.860958838,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018
SAT,0.00511509,0,0,0,0,0.08,0.01,0.01,0.01,0,0.01,03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248
UNSAT,0.714285714,0,0,0,0.06,0.05,0.01,0,0.01,0,0,03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled
UNSAT,0.346838702,585.64,745.84,649.09,718.43,722.13,589.26,748.83,650.98,719.89,723.88,0412f6f3174dfc4c27ad0b61280cd739-SGI_30_40_30_20_2-dir.shuffled-as.sat05-442
SAT,0.304467198,0,0,5000,5000,5000,0.02,0.02,5000,5000,5000,04283728b84c4b0ff6cb44ca4bc4ab65-new-difficult-28-302-26-75
SAT,0.353730499,2451.1,72.81,2180.13,4311.52,117.35,2467.81,72.69,2186.52,4324.01,118.78,043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883
UNKNOWN,0.861190984,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0445a4d6be24882bac0988a055e7f379-unsat-set-a-fclqcolor-20-13-14.sat05-1278.reshuffled-07-sc2007
UNSAT,0.781961867,622.2,596.66,399.75,685.38,672.74,623.86,598.14,400.9,686.28,675.3,0447371bb8a97e8fe5d3cee6de1db766-UTI-20-10p0-sc2009
SAT,0.091552619,0.78,0.18,141.53,524.96,0,0.76,0.06,142.58,526.56,0,0463b72200ae80c02835c027d3606c4e-battleship-13-25-sat
SAT,0.355452784,1040.35,230.39,228.7,1344.11,4348.15,1043.69,230.5,229.18,1349.62,4369.32,0491901f00c8663e5b49a0dbbf96412f-rbsat-v945c61409g4
SAT,0.492914687,2.31,0.69,1.37,4.06,0.36,2.3,0.63,1.41,4.07,0.39,04fa0a71339fa76067a75ff448ef6f67-sat-strips-gripper-12t23.sat05-1144.reshuffled-07
UNKNOWN,0.003701562,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,050214ecbd9e96136fe1bc73447f1303-easier-php-035-029.sat05-1179.reshuffled-07
SAT,0.849963487,5.57,11.17,23.26,12.67,13.65,5.48,11.13,23.29,12.77,13.56,0506d033a4ca469af10d95dbf36a86e9-em_7_4_9_cmp
UNKNOWN,0.289993555,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0533a1506eb61460bee3917f61ca4c49-SGI_30_80_29_60_7-dir.shuffled-as.sat03-217
UNKNOWN,0.1669036,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434
UNKNOWN,0.25,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,05f5567936f582edc0d3ea9903f540bc-sgen1-sat-230-100
SAT,0.004517356,0,0,0,0,0.08,0.01,0.01,0.01,0,0.05,05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282
UNSAT,0.177628294,96.21,38.04,69.72,29.14,38.77,96.27,38.1,70.46,29.24,38.83,06166a0dd78f45c213add974a6711dfe-barman-pfile10-038.sas.cr.25
UNSAT,0.756145711,2964.45,858.43,3553.28,3686.58,5000,2976.76,860.88,3578.97,3702.34,5000,062f58e44eb73f9274b57af5092cad90-rook-51-0-0
SAT,0.262497029,0,0,0.02,0.04,0,0.04,0.04,0.04,0.02,0.05,06385be5ecfc7df22b2c956093cef85f-depots3_v01a.renamed-as.sat05-3950
UNSAT,0.336182237,4448.37,3589.79,4273.26,5000,5000,4486.87,3600.46,4287.44,5000,5000,068c64314f0f8405bc28bb4c52647145-sokoban-p20.sas.cr.27
UNSAT,0.248855434,3900.99,5000,4750.53,5000,5000,3917.57,5000,4800.35,5000,5000,069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002
SAT,0.352922739,0,0,0,0,0,0.01,0.01,0.01,0,0.01,06a36581f14e399a76a5110449ebe739-driverlog2_v01a.renamed-as.sat05-3961
SAT,0.597687199,0.04,0.04,1.09,1.2,1.35,0.12,0.12,1.11,1.17,1.33,06e46ab0acac57a61638cbb741949a98-complete-500-0.1-1-9876543215001
SAT,0.785648951,5.38,8.31,5.85,6.35,8.59,5.4,8.39,5.9,6.4,8.64,07d20a83feca9295e862a7d583da5971-UTI-20-10t1
UNSAT,0.239504273,139.36,82.9,105.54,53.83,62.69,139.77,83,105.83,53.94,62.75,08469bbccc41da0c124d69c61ce7dc58-barman-pfile07-027.sas.cr.37
SAT,0.109776431,2387.26,1002.13,731.27,4568.97,4636.78,2398.68,1005.19,742.74,4584.5,4652.86,089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18
SAT,0.262734231,0,0,0,0,0,0.01,0,0.01,0.01,0.02,08a68ba9d062c0856f1bc9cce7907b11-sgi-difficult4
SAT,0.685387924,1329.38,1597.37,298.4,82.01,267.31,1334.6,1603.31,299.75,82.51,268.65,08b6f45c900d30fb65462a65df69e214-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT
UNSAT,0.042661067,4171.72,6.33,5000,5000,5000,4193.35,6.34,5000,5000,5000,08e1c46acda38a12fa3229f9f224425d-Haystacks-ext-12_c18
UNKNOWN,0.250190985,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,08f2462515d5c1ffd0881dd5801f54bd-SGI_30_70_28_60_5-dir.shuffled-as.sat03-177
SAT,0.360842873,289.28,1157.2,1492.89,1478.47,1967.59,289.71,1165.28,1496.18,1484.08,1973.94,090f37bba39891c7cf3bed2ace26ca92-rbsat-v945c61409gyes2
UNKNOWN,0.712443321,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,096f0ffbc2aa6f0e1fc7876a99e99bc5-phnf-size10-exclusive-equilarge_l2.used-as.sat04-894.sat05-4188.reshuffled-07
UNKNOWN,0.838720166,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,099a345f923579d745e491b29c7da949-fclqcolor-14-09-12.shuffled-as.sat05-1284
UNSAT,0.879668496,147.41,153.25,555.33,1046.54,796.05,148.24,153.94,556.51,1052.33,797.66,09e6779ba720bc9c22bae55653614d53-crafted_n11_d6_c3_num4
SAT,0.471746535,44.05,150.25,46.89,8.88,37.17,44.17,151.94,47.1,8.94,37.4,0a015b7f4b4ec96e881f2f5f5e55265c-strips-gripper-18t35.shuffled-as.sat05-1147
UNKNOWN,0.731887453,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0a27d1f7ff9fae1edf7f460f4fe70886-phnf-size10-exclusive-equilarge_l1.used-as.sat04-893.sat05-4187.reshuffled-07
UNSAT,0.50541863,1404.43,256.24,631.07,534.81,538.73,1410.82,257.13,633.73,537.03,540.06,0a5ae0d5af40b6d41f8be446811aa796-mp1-blockpuzzle_8x8_s1_free4
SAT,0.268090656,0,0.12,0.21,0.1,0.12,0.02,0.03,0.04,0.04,0.08,0a7555a2a68abdd45b80a8db1a919a6a-ferry10_v01a.renamed-as.sat05-3993
UNKNOWN,0.318812627,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0ab9ff4d0e75a279522d77671cdcb09c-rbsat-v2100c215164gyes4
