ConRatio,Clauses,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,OtherCnt,ElimVars,EncodeWeightSumK,Star_Time_CPU,Star_Time_Wall,Time,Name
0.029003783,1586,46,20,0,13,0,0,0,0,0.05,0.11,0.02,a138136cb0b96c0245b38b48aa37c277-homer13.shuffled
0.029850746,804,24,12,0,12,0,0,0,0,0.05,0.1,0.01,68eb522c6e1666736ff302a943cf722d-php-012-012.shuffled-as.sat05-1158
0.031165312,738,23,11,0,12,0,0,0,0,0.05,0.1,0.01,53742d5ab42c7dcc531c21faceb25cea-php-012-011.shuffled-as.sat05-1186
0.031165312,1476,46,22,0,12,0,0,0,0,0.05,0.11,0.02,efed5fc1cfe3f6c3627711513330aa77-homer16.shuffled
0.032738095,672,22,10,0,12,0,0,0,0,0.05,0.1,0.01,4cbb2f9e2f4572c5a3dc93f7545bc4fb-php-012-010.shuffled-as.sat05-1172
0.032738095,1344,44,20,0,12,0,0,0,0,0.05,0.11,0.02,cf801b6e9f208f1560b71c26417931a8-homer12.shuffled
0.032967033,910,30,20,0,10,0,0,0,0,0.15,0.1,0.01,da1c4b80744ff527a61cafd64d069897-fphp-010-010.shuffled-as.sat05-1199
0.034248201,88501,3031,30,0,76,0,0,0,0,1.35,1.35,1.24,2a4287ec5a62566667d1b6f1e3c04326-med30.shuffled
0.034653465,1212,42,18,0,12,0,0,0,0,0.06,0.1,0.01,d02c05db2db553967294055996cc291a-homer08.shuffled
0.036043402,239711,8640,4320,0,23,0,0,0,0,3.51,3.49,3.35,936fe573e03101a52329af441fc78928-qwh.60.1440.shuffled-as.sat03-1656
0.037419355,775,29,19,0,10,0,0,0,0,0.05,0.1,0.01,90d2c6c480c80c39d0e8005bd405ecd4-fphp-010-009.shuffled-as.sat05-1227
0.037433155,1122,42,20,0,11,0,0,0,0,0.05,0.1,0.01,1890f49a43a94b97828528b68c32b78e-homer11.shuffled
0.037433155,561,21,10,0,11,0,0,0,0,0.05,0.09,0.01,91eba6d10294887fa57557b590e655ae-ph10
0.038815305,16308,633,57,0,24,0,0,0,0,0.15,0.32,0.23,10eac59a20ab8b94d22d75557b22c364-battleship-24-57-sat
0.039010466,1051,41,20,0,13,0,0,0,0,0.05,0.1,0.01,e8c79a0ee6be39b6b2211c9a527c192a-randomG-n20-d05
0.039525692,1012,40,18,0,11,0,0,0,0,0.05,0.1,0.01,95bb75b5ed3f63de357b4d406f0359d9-homer07.shuffled
0.039780521,19683,783,54,0,27,0,0,0,0,0.49,0.38,0.28,cd864fc43dfa07c29d9c6201d107160b-battleship-27-54-sat
0.042345277,921,39,19,0,13,0,0,0,0,0.05,0.1,0.01,c879ee8f60ca65a013da7774277e489e-randomG-n19-d05
0.042434763,36291,1540,19,0,61,0,0,0,0,0.8,0.56,0.46,3a01188d09ebe16b739a646c63f8f755-med19.shuffled
0.042661067,19526,833,292,0,13,0,0,0,0,0.66,0.57,0.47,08e1c46acda38a12fa3229f9f224425d-Haystacks-ext-12_c18
0.043076923,650,28,18,0,10,0,0,0,0,0.05,0.1,0.01,44ab80d376f78495483e45bb8088c3ae-fphp-010-008.shuffled-as.sat05-1213
0.043478261,460,20,10,0,10,0,0,0,0,0.05,0.09,0.01,d6fc8244dafa817cb8f8b100df8ae288-php-010-010.shuffled-as.sat05-1157
0.044185788,26977,1192,359,0,14,0,0,0,0,1.49,1.33,1.22,2fedd34f047c7eceddf043d120fb597f-Haystacks-ext-13_c18
0.045783133,830,38,18,0,10,0,0,0,0,0.05,0.1,0.01,3c194bebd33c343386d0cd3225b6faac-homer06.shuffled
0.045783133,415,19,9,0,10,0,0,0,0,0.05,0.09,0,44092fcc83a5cba81419e82cfd18602c-php-010-009.shuffled-as.sat05-1185
0.045984647,13548,623,47,0,24,0,0,0,0,0.13,0.28,0.19,f70ef02944377b624faa46b14132983c-battleship-24-47-sat
0.046599496,794,37,18,0,13,0,0,0,0,0.09,0.15,0.01,50d081a4b18eecdd0bc120f634d57a26-randomG-n18-d05
0.046865582,13272,622,46,0,24,0,0,0,0,0.14,0.28,0.18,c92a00e686eb4d9a9e05d2ecfb174dd8-battleship-24-46-sat
0.048648649,370,18,8,0,10,0,0,0,0,0.04,0.09,0,daa64046112eb50107587b859f856a7d-php-010-008.shuffled-as.sat05-1171
0.051851852,675,35,17,0,12,0,0,0,0,0.05,0.1,0.01,116bae11adddfa555f2e21f8ee678de5-randomG-n17-d05
0.055758487,18616,1038,17,0,46,0,0,0,0,0.2,0.34,0.24,5896c7d372b74e74e51b89e4f7b486a5-med17.shuffled
0.056209987,7810,439,39,0,20,0,0,0,0,0.11,0.2,0.11,2dd79829405516b6add235e8fc4732b8-battleship-20-39-sat
0.057137061,88734,5070,115,0,56,0,0,0,0,1.25,1.27,1.16,b18b58b3399e9fb62060017edcb24a24-Subisomorphism-g10-g23_c18
0.059509569,6688,398,37,0,19,0,0,0,0,0.1,0.19,0.09,5baf53a177ccc89279e37e5d52b3c973-battleship-19-37-sat
0.063215355,5679,359,35,0,18,0,0,0,0,0.09,0.17,0.08,45aeebbb5742ff1cd68df5b3768db763-battleship-18-35-sat
0.064144737,1216,78,12,27,12,13,0,200,271,0.68,0.7,0.6,ac909ca2e27006f71389b6afa605f4be-randomG-B-Mix-n19-d05
0.064236111,576,37,5,13,13,13,0,75,118,0.04,0.32,0.23,1527378fc216e0506bf8b63d0fad56be-randomG-Mix-n18-d05
0.066248881,1117,74,12,25,13,13,0,169,228,0.63,0.61,0.49,912b89dd471295d3c72c66d0192dff72-randomG-B-Mix-n18-d05
0.067406322,4777,322,33,0,17,0,0,0,0,0.08,0.16,0.07,b56937cdb4cfd8a7b4a27afe68602acf-battleship-17-33-sat
0.068226121,513,35,5,12,12,12,0,61,102,0.05,0.27,0.18,9a296539e33398c9ae36663371a63b39-randomG-Mix-n17-d05
0.072183099,3976,287,31,0,16,0,0,0,0,0.08,0.15,0.05,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat
0.077675841,3270,254,29,0,15,0,0,0,0,0.07,0.13,0.04,ed89ea53926023d0584a3ef0c7776195-battleship-15-29-sat
0.080097087,824,66,12,21,10,12,0,118,173,0.05,0.44,0.32,b5c3e33e90f4c95502754c7e2e92a6d2-randomG-B-Mix-n16-d05
0.084055786,2653,223,27,0,14,0,0,0,0,0.06,0.13,0.04,bde3aa8e83bd37b93d8090cd1ee204a1-battleship-14-27-sat
0.086651054,2562,222,26,0,14,0,0,0,0,0.06,0.13,0.04,7083b70c1976162e2693d7a493717ffd-battleship-14-26-sat
0.091552619,2119,194,25,0,13,0,0,0,0,0.06,0.12,0.03,0463b72200ae80c02835c027d3606c4e-battleship-13-25-sat
0.094187771,72812,6858,3406,0,14,0,0,0,0,1.21,1.2,1.08,399cd638a054d49ce61f17490520e04b-bqwh.60.1152.shuffled-as.sat03-1650
0.100481348,1662,167,23,0,12,0,0,0,0,0.06,0.12,0.02,9934cfcba792b2967401a5edfc555ae7-battleship-12-23-sat
0.103953553,3617,376,36,0,17,0,0,0,0,0.07,0.13,0.04,3790402e85dcf5a9068a261d9b409cd9-bart30.shuffled
0.10929803,3248,355,35,0,16,0,0,0,0,0.07,0.14,0.04,f257e048f26b71858a5711c11ab37ed6-bart29.shuffled
0.109776431,243504,26731,244,0,60,0,0,0,0,3.49,3.49,3.27,089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18
0.111184211,3040,338,34,0,16,0,0,0,0,0.07,0.13,0.04,cbbc8cfdf76f4999df134398d58f468f-bart27.shuffled
0.111285266,1276,142,21,0,11,0,0,0,0,0.05,0.11,0.02,89fee6024fc817baf4016ff66f382a92-battleship-11-21-sat
